counter,dt,ax,ay,az,gx,gy,gz
0,,116,8682,4932,6,-3,0
256,0.02,140,8692,4921,9,-2,1
511,0.019921875000000002,166,8714,4928,9,-2,0
768,0.020078125,205,8696,4918,9,-2,1
1025,0.020078125,212,8691,4929,9,-2,1
1279,0.01984375,277,8689,4914,9,-2,1
1534,0.019921875000000002,270,8682,4909,10,-2,1
1789,0.019921875000000002,288,8697,4924,9,-2,1
2045,0.02,335,8694,4926,10,-3,1
2299,0.01984375,344,8682,4918,10,-3,1
2556,0.020078125,353,8686,4925,10,-2,1
2810,0.01984375,400,8683,4935,9,-3,0
3068,0.02015625,418,8696,4925,10,-3,1
3325,0.020078125,467,8683,4930,9,-3,1
3580,0.019921875000000002,467,8693,4916,9,-2,1
3835,0.019921875000000002,521,8683,4917,9,-3,0
4092,0.020078125,518,8668,4929,9,-3,1
4346,0.01984375,559,8692,4909,9,-3,1
4603,0.020078125,604,8654,4930,9,-3,0
4859,0.02,619,8670,4927,9,-2,1
5114,0.019921875000000002,629,8679,4927,10,-2,1
5372,0.02015625,693,8656,4914,9,-3,0
5629,0.020078125,707,8668,4902,9,-3,1
5883,0.01984375,754,8713,4931,9,-4,1
6140,0.020078125,739,8661,4915,9,-2,1
6396,0.02,775,8650,4900,9,-3,2
6653,0.020078125,806,8677,4917,9,-3,0
6909,0.02,862,8648,4938,9,-2,1
7167,0.02015625,855,8657,4915,9,-3,0
7425,0.02015625,864,8657,4949,9,-3,1
7679,0.01984375,930,8655,4919,10,-3,2
7935,0.02,939,8631,4905,10,-2,1
8190,0.019921875000000002,957,8668,4909,9,-3,1
8446,0.02,990,8641,4931,10,-3,1
8700,0.01984375,985,8640,4914,9,-3,1
8956,0.02,1056,8617,4927,9,-3,1
9210,0.01984375,1077,8654,4924,9,-3,1
9467,0.020078125,1098,8614,4928,9,-2,2
9723,0.02,1109,8623,4905,9,-3,1
9981,0.02015625,1138,8614,4895,9,-4,1
10239,0.02015625,1162,8618,4901,8,-2,0
10496,0.020078125,1185,8644,4971,9,-3,1
10752,0.02,1254,8598,4924,10,-3,1
11009,0.020078125,1252,8588,4924,9,-3,1
11266,0.020078125,1288,8620,4930,9,-3,1
11520,0.01984375,1296,8605,4927,10,-3,1
11775,0.019921875000000002,1322,8580,4946,9,-3,0
